__BASELINE__	ok	614276790	16656	132789214	741774905	16656	110203930
-O0	ok	167170190	16896	127536774	739752256	16656	145746104
-O1	ok	405843645	16672	74221576	759622908	16656	46990577
-O3	ok	808929837	16656	101574873	609452635	16656	145382761
-Os	ok	516958622	16680	76456851	601928106	16656	143840359
-Oz	build-failed				651488219	16656	49867184
-Ofast	ok	676307813	18144	133681254	674220385	16656	46975750
-Og	ok	280950695	16792	83506982	658121762	16656	47107888
-flto	ok	203047694	16640	156606575	658089371	16656	53238621
-fno-inline	ok	539012938	16840	111255489	746015181	16656	145004963
-funroll-loops	ok	1427015726	16656	149149078	606541935	16656	157873278
-fno-omit-frame-pointer	ok	739164626	16656	131873364	746342317	16656	125768187
-g	ok	918363452	26120	139148374	735136224	16656	77969871
-g3	ok	933848405	57368	140302604	739990938	16656	111854413
-fstack-protector	ok	601815783	16712	111958382	742872069	16656	74314365
-fstack-protector-strong	ok	607333849	16712	135187874	686519125	16656	135841555
-fstack-protector-all	ok	624392010	16712	138770422	614234653	16656	152328649
-fstack-clash-protection	ok	760289986	16656	144527378	606657581	16656	146006253
-fcf-protection=full	ok	751643130	16656	135872222	731954521	16656	143762930
-fPIE -pie	ok	593710187	16848	136246299	613404968	16656	132619601
-ftrivial-auto-var-init=zero	build-failed				643221347	16656	143087295
-ftrivial-auto-var-init=pattern	build-failed				763018012	16656	149636974
-fzero-call-used-regs=used-gpr	build-failed				751226325	16656	135311104
-fzero-call-used-regs=all	build-failed				726287587	16656	145316593
-fstrict-flex-arrays=3	build-failed				729684429	16656	86946049
-D_FORTIFY_SOURCE=2	ok	611431821	16656	144249596	632917178	16656	48096559
-D_FORTIFY_SOURCE=3	ok	768104347	16656	144376503	742606155	16656	70427497
-fhardened	build-failed				608086164	16656	144507658
-fsanitize=address	ok	735541095	28040	334361874	608354164	16656	95058272
-fsanitize=undefined	ok	1603584262	22616	333912076	774872611	16656	87083686
-fsanitize=address -fsanitize=undefined	ok	1804809586	39056	502699845	676124109	16656	46593272
-fsanitize=thread -fPIE -pie	run-failed	690562941	19040		613974749	16656	138394930
-fsanitize=leak	ok	723820258	23320	190719935	769612316	16656	134128140
-fanalyzer	build-failed				757312255	16656	118147641
--coverage	link-failed	761245889			738582618	16656	46372425
-pg	ok	727996130	17024	145011184	601169055	16656	82015076
-fno-strict-aliasing	ok	602485794	16656	144274998	734587888	16656	144749212
-fno-semantic-interposition	ok	744556469	16656	118127588	748902815	16656	144877361
-fvisibility=hidden	ok	743122241	16656	88252562	603707475	16656	123259645
-fno-common	ok	617200094	16656	131078902	754124933	16656	138124187
-fexceptions	ok	745016836	16656	109434457	760811215	16656	147924510
-Wall -Wextra	ok	641073190	16656	45320621	755548937	16656	84582647
-Wall -Wextra -Wconversion -Wformat=2	ok	605716458	16656	132797519	641827443	16656	104305915
