__BASELINE__	ok	650212492	16648	70887645	781024938	16648	74844278
-O0	ok	166873477	16888	123015448	757594618	16648	144385806
-O1	ok	393903369	16664	99618261	632899098	16648	124529792
-O3	ok	705618771	16648	120503018	644281352	16648	144844142
-Os	ok	474431795	16680	126676350	735161371	16648	68002765
-Oz	build-failed				761175579	16648	132392521
-Ofast	ok	829765677	18144	118233030	778310640	16648	151411870
-Og	ok	282903695	16840	228302696	638845632	16648	45332772
-flto	ok	163664366	16640	126637829	670791526	16648	120085433
-fno-inline	ok	560679326	16832	96187323	631328413	16648	144641868
-funroll-loops	ok	1422995379	16648	145406755	677482765	16648	131654206
-fno-omit-frame-pointer	ok	767572609	16648	131301494	634579762	16648	92516813
-g	ok	879924098	25904	146156274	640552124	16648	135673692
-g3	ok	875400673	57672	142811467	743827882	16648	141985446
-fstack-protector	ok	642900509	16704	45439620	774835423	16648	107310438
-fstack-protector-strong	ok	785906698	16704	144520801	716542864	16648	149907386
-fstack-protector-all	ok	653433113	16704	140475744	642217443	16648	127597826
-fstack-clash-protection	ok	790361325	16648	114035841	671441650	16648	147886518
-fcf-protection=full	ok	667981204	16648	141028261	790154456	16648	46058488
-fPIE -pie	ok	639570144	16848	154470570	628650418	16648	141255933
-ftrivial-auto-var-init=zero	build-failed				733918230	16648	137559518
-ftrivial-auto-var-init=pattern	build-failed				633792070	16648	123171744
-fzero-call-used-regs=used-gpr	build-failed				651805834	16648	68703203
-fzero-call-used-regs=all	build-failed				633869305	16648	136394705
-fstrict-flex-arrays=3	build-failed				768584808	16648	145077997
-D_FORTIFY_SOURCE=2	ok	640790084	16656	69598273	787041286	16648	141560862
-D_FORTIFY_SOURCE=3	ok	777177624	16656	91562551	792052050	16648	131050180
-fhardened	build-failed				627703541	16648	140118137
-fsanitize=address	ok	768924877	27512	346764822	763076320	16648	145780968
-fsanitize=undefined	ok	1672501293	22584	342496387	771338623	16648	107463697
-fsanitize=address -fsanitize=undefined	ok	1825197048	38536	455689411	630833315	16648	87262475
-fsanitize=thread -fPIE -pie	run-failed	833723886	19120		630472368	16648	129333767
-fsanitize=leak	run-failed	643735824	22768		738050827	16648	118099157
-fanalyzer	build-failed				644595179	16648	156232048
--coverage	link-failed	906943430			654155461	16648	144186626
-pg	ok	775903601	17008	226107658	785499232	16648	139189554
-fno-strict-aliasing	ok	781261191	16648	142516954	668140884	16648	148811205
-fno-semantic-interposition	ok	643660385	16648	115465546	786378448	16648	145702727
-fvisibility=hidden	ok	622385496	16648	127736533	773173498	16648	131695670
-fno-common	ok	779699562	16648	124943884	784495753	16648	130890683
-fexceptions	ok	633210551	16648	130945995	773316330	16648	131265877
-Wall -Wextra	ok	632113126	16648	128872829	632299056	16648	132117745
-Wall -Wextra -Wconversion -Wformat=2	ok	787395423	16648	130914495	793367304	16648	130887824
