__BASELINE__	ok	992499507	16008	113188403	998526103	16008	105403028
-O0	ok	343679437	16200	81016094	995090707	16008	113208495
-O1	ok	512221531	16024	115776501	1009811734	16008	106538373
-O3	ok	1102481437	16008	89425385	861012841	16008	106312375
-Os	ok	732517812	16040	127638210	854057311	16008	104198708
-Oz	ok	743161146	16040	119577558	861634680	16008	112951062
-Ofast	ok	1112026700	17440	103045482	858059283	16008	107087839
-Og	ok	298001315	16200	116699147	990439983	16008	113173943
-flto	ok	220318125	16000	111513660	856628418	16008	111559257
-fno-inline	ok	709309449	16192	117787070	996090936	16008	96368983
-funroll-loops	ok	1794442559	16008	100155610	859877025	16008	112755386
-fno-omit-frame-pointer	ok	861622873	16008	105625215	849605506	16008	110651598
-g	ok	1098756594	22664	115591255	993475181	16008	105458632
-g3	ok	1131570200	58472	105760437	861536985	16008	112035888
-fstack-protector	ok	859843686	16064	112868128	1019517406	16008	111920566
-fstack-protector-strong	ok	1003647850	16064	113253401	859781252	16008	106992639
-fstack-protector-all	ok	1039515663	16064	114825121	866492725	16008	110015761
-fstack-clash-protection	ok	862238094	16008	105121280	1000026868	16008	109704616
-fcf-protection=full	ok	1005414378	16008	106419582	855783568	16008	106126815
-fPIE -pie	ok	987081898	16184	113622465	995902124	16008	113127725
-ftrivial-auto-var-init=zero	ok	995245134	16008	105385427	987724169	16008	113162919
-ftrivial-auto-var-init=pattern	ok	867277756	16008	113461598	985515295	16008	113717705
-fzero-call-used-regs=used-gpr	ok	997803864	16008	106093179	892129549	16008	94570529
-fzero-call-used-regs=all	ok	862157742	16008	181371017	858084933	16008	88501801
-fstrict-flex-arrays=3	ok	851681122	16008	106318589	1007750612	16008	112808898
-D_FORTIFY_SOURCE=2	ok	858385675	16016	104910395	1006685283	16008	105395713
-D_FORTIFY_SOURCE=3	ok	1009353720	16072	104224789	865958112	16008	82715317
-fhardened	ok	1007596199	16176	104573630	998726748	16008	113126457
-fsanitize=address	ok	975237104	25920	346742510	853444392	16008	95439079
-fsanitize=undefined	ok	2089289013	17864	232817338	990477340	16008	113851576
-fsanitize=address -fsanitize=undefined	ok	2235291930	36904	443445530	848415907	16008	112435540
-fsanitize=thread -fPIE -pie	run-failed	920339705	18560		1005619401	16008	94662575
-fsanitize=leak	ok	857869623	18912	174174685	859699961	16008	105205458
-fanalyzer	ok	1562311603	16008	106005426	851901527	16008	106779804
--coverage	ok	1042962022	81872	108146601	1015704772	16008	112254961
-pg	ok	985275068	16464	224315751	993350135	16008	112245991
-fno-strict-aliasing	ok	995218990	16008	105964037	1013920453	16008	110203824
-fno-semantic-interposition	ok	1000440922	16008	114135171	863366857	16008	105215587
-fvisibility=hidden	ok	860074538	16008	94454377	859902183	16008	112349173
-fno-common	ok	1005492437	16008	109533330	1005517040	16008	105553009
-fexceptions	ok	855072373	16008	113391066	866583780	16008	45711936
-Wall -Wextra	ok	991130091	16008	108904202	1011890952	16008	43864153
-Wall -Wextra -Wconversion -Wformat=2	ok	866595071	16008	106392443	1010068627	16008	93961099
